,Product ID,Product Description,Quantity
0,1734,Kettle Chips 1.5oz,1.0
1,1498,Cheese Slices 6 oz,3.0
2,1736,Stoneground Fig Bar 2oz,1.0
3,1742,Stoneground Fig Bar 2oz,1.0
4,4985,Fruit Bar 0.9oz,1.0
5,4226,Fruit Bar 0.9oz,1.0
6,4686,Perfect Bar Mini 0.74 oz,1.0
7,4687,Perfect Bar Mini 0.74 oz,1.0
8,4379,Banana Bites 1.4oz,2.0
9,3059,Rice Crackers .74oz,1.0
10,284,Coke 12oz,3.0
11,2081,Coke Zero 12oz,3.0
12,287,Diet Coke 12oz,3.0
13,1859,Quest Protein Bar 2.1oz,1.0
14,1856,Quest Protein Bar 2.1oz,1.0
15,1844,Quest Protein Bar 2.1oz,1.0
16,195,Beef Jerky 1oz Organic,1.0
17,4382,Turkey Jerky 1oz,1.0
18,5378,Green Pea Cookie 1oz,12.0
19,4206,Chocolate Macaroons .88oz,1.0
20,4209,Chocolate Macaroons .88oz,1.0
21,4509,Protein Bar 1.83oz,1.0
22,427,Gluten-Free Bar 1.5oz,1.0
23,4336,Hummus 2oz,4.0
24,384,Yogurt 4ct 4oz,1.0
25,3132,Yogurt 4ct 4oz,1.0
26,1495,Cheese Slices 6 oz,1.0
27,1745,Stoneground Fig Bar 2oz,1.0
28,1739,Stoneground Fig Bar 2oz,1.0
29,480,Stoneground Fig Bar 2oz,1.0
30,678,Antioxidant Infusions 18 fl oz,1.0
31,1802,Flavored Sparkling Water 12oz,1.0
32,5184,Flavored Sparkling Water 12oz,1.0
33,456,Tea 16.9oz,2.0
34,1338,Tea 16.9oz,1.0
35,459,Tea 16.9oz,1.0
36,4423,Taste Nirvana Real Coconut Water 10oz,3.0
37,2041,Flavored Water 16oz,1.0
38,2699,Flavored Water 16oz,1.0
39,2044,Flavored Water 16oz,2.0
40,660,Antioxidant Infusions 18 fl oz,1.0
41,672,Antioxidant Infusions 18 fl oz,1.0
42,663,Antioxidant Infusions 18 fl oz,1.0
43,1707,Stoneground Fig Bar 2oz,1.0
44,657,Antioxidant Infusions 18 fl oz,1.0
45,666,Antioxidant Infusions 18 fl oz,1.0
46,1504,Buttery Spread 13oz,1.0
47,3355,Whole Bean Coffee 1lb,4.0
48,4161,Whole Bean Coffee 1lb,2.0
49,2050,Flavored Water 16oz,1.0
50,2938,Flavored Water 16oz,1.0
51,3927,Flavored Sparkling Water 12oz,1.0
52,4993,Green Tea Matcha Drink 5.2oz,1.0
53,1148,Ginger Ale-12oz,2.0
54,3828,GoMacro Mini Bars .9oz,1.0
55,4372,Cheese Slices 6 oz,3.0
56,3853,Cheese Slices 6 oz,3.0
57,2490,Flavored Sparkling Water 12oz,1.0
58,859,Nectarines 1lb,4.0
59,1889,Organic Plain Bagels 15oz,4.0
60,2564,Quinoa Chips 0.8oz,1.0
61,1251,Sesame Sticks 7.5lbs,1.0
62,1375,Organic Cooked Eggs 24ct,2.0
63,171,Avocados,2.0
64,161,Bananas 1lb ,20.0
65,3548,Blackberries 6oz,2.0
66,173,Blueberries 6oz,2.0
67,494,Lemons 1ct,1.0
68,1631,Granola 2lbs,1.0
69,5835,Organic Red Plums,4.0
70,1081,Peaches 1lb,4.0
71,2322,Cream Cheese 8oz Tub,1.0
72,167,Raspberries 6oz,2.0
73,4887,Red Apples,6.0
74,4886,Red Apples,6.0
75,2811,Carroteenies Baby Carrots 1.6oz,2.0
76,1685,Organic Half and Half,3.0
77,2047,Flavored Water 16oz,1.0
78,67,Banana Bites 1.4oz,2.0
79,379,Olives 1.1oz,2.0
80,713,Organic String Cheese 1oz,1.0
81,2708,Cheese Squares .75oz,2.0
82,336,Cereal 10.6 oz,1.0
83,1520,Organic Bagels 15oz 5ct,4.0
84,2701,Multigrain English Muffin 12oz,4.0
85,470,Instant Oatmeal,3.0
86,1964,Cereal 12.5oz,2.0
87,3877,Bunny Fruit Snacks 0.8oz,2.0
88,75,Cheddar Bunnies 1oz,3.0
89,2394,Peanut Butter Filled Pretzels 5oz,1.0
90,2379,Organic Cracker Snacks,2.0
91,1679,Organic Salted Hi-Protein Pretzels 8oz,4.0
92,310,Roasted Seaweed 0.17oz,2.0
93,3786,Crunchy Bites 1oz,1.0
94,4888,Mixed Nuts Roasted & Salted 16lbs,1.0
95,3843,Slow Cooked Ham 7oz,3.0
96,994,Oven Roasted Turkey Sliced 6oz,3.0
97,2339,Organic Milk 1/2 Gallon,5.0
98,2341,Organic Milk 1/2 Gallon,3.0
99,2345,Organic Milk 1/2 Gallon,1.0
100,2756,Yogurt 4ct 4oz,1.0
101,3134,Yogurt 4ct 4oz,1.0
102,2750,Icelandic Yogurt 5.3oz,1.0
103,2967,Almond Milk 1/2 Gallon,1.0
104,1371,Veggie Sticks 1oz,1.0
105,2904,Dave's Killer Bread 27oz,1.0
106,266,Dave's Killer Bread 27oz,1.0
107,2715,Icelandic Yogurt 5.3oz,1.0
108,4505,Dave's Killer Bread 27oz,2.0
109,3011,Cereal 10.6 oz,1.0
110,3009,Cereal 10.6 oz,1.0
111,1787,Flavored Sparkling Water 12oz,1.0
